y2016_id,y2022_id
D-06-04-02-02,JkxnuRE
D-06-04-02-03,JkxnuRE
D-06-04-02-04,JkxnuRE
D-06-04-02-05,JkxnuRE
D-06-04-02-06,JkxnuRE
D-06-04-02-07,JkxnuRE
D-06-04-03-01,JkxnuRE
D-06-04-03-02,JkxnuRE
D-06-04-03-03,JkxnuRE
D-06-04-03-04,JkxnuRE
D-06-04-03-05,JkxnuRE
D-06-04-03-06,JkxnuRE
D-06-04-03-07,JkxnuRE
D-06-04-04-01,JkxnuRE
D-06-04-04-02,JkxnuRE
D-06-04-04-03,JkxnuRE
D-06-04-04-04,JkxnuRE
D-06-04-05-01,JkxnuRE
D-06-04-05-02,JkxnuRE
D-06-04-05-03,JkxnuRE
D-06-04-05-04,JkxnuRE
D-06-04-06-01,JkxnuRE
D-06-04-06-02,JkxnuRE
D-06-04-06-03,JkxnuRE
D-06-04-07-01,JkxnuRE
D-06-04-07-02,JkxnuRE
D-06-04-07-03,JkxnuRE
D-06-04-07-04,JkxnuRE
D-06-04-07-05,JkxnuRE
D-06-04-08-01,JkxnuRE
D-06-04-08-02,JkxnuRE
D-06-04-08-03,JkxnuRE
D-06-04-08-04,JkxnuRE
D-07-01-na-01,JkxnuRI
D-07-01-na-02,JkxnuRI
D-07-01-na-03,JkxnuRI
D-07-01-na-04,JkxnuRI
D-07-01-na-05,JkxnuRI
D-07-01-na-06,JkxnuRI
D-07-01-na-07,JkxnuRI
D-07-01-na-08,JkxnuRI
D-07-01-na-09,JkxnuRI
D-07-01-na-10,JkxnuRI
D-07-01-na-11,JkxnuRI
D-07-01-na-12,JkxnuRI
D-07-01-na-13,JkxnuRI
D-07-01-na-14,JkxnuRI
D-07-01-na-15,JkxnuRI
D-07-03-02-01,JkxnuRM
D-07-03-02-02,JkxnuRM
D-07-03-02-03,JkxnuRM
D-07-03-02-04,JkxnuRM
D-07-03-02-05,JkxnuRM
D-07-03-02-06,JkxnuRM
D-07-03-02-07,JkxnuRM
D-07-03-02-01,JkxnuRM
D-07-03-02-02,JkxnuRM
D-07-03-02-03,JkxnuRM
D-07-03-02-04,JkxnuRM
D-07-03-02-05,JkxnuRM
D-07-03-02-06,JkxnuRM
D-07-03-02-07,JkxnuRM
D-07-03-02-01,JkxnuRM
D-07-03-02-02,JkxnuRM
D-07-03-02-03,JkxnuRM
D-07-03-02-04,JkxnuRM
D-07-03-02-05,JkxnuRM
D-07-03-02-06,JkxnuRM
D-07-03-02-07,JkxnuRM
D-07-03-02-01,JkxnuRM
D-07-03-02-02,JkxnuRM
D-07-03-02-03,JkxnuRM
D-07-03-02-04,JkxnuRM
D-07-03-02-05,JkxnuRM
D-07-03-02-06,JkxnuRM
D-07-03-02-07,JkxnuRM
